id,title,description,publishedAt,tags,categoryId,defaultLanguage,defaultAudioLanguage,thumbnail_default,thumbnail_high,duration,viewCount,likeCount,commentCount,privacyStatus,channel_id,channel_title,channel_description,channel_country,channel_thumbnail,channel_subscriberCount,channel_videoCount
wJ6yrhWX6fw,Future Prediction | Elon Musk x Nikhil Kamath,"#NikhilKamath Co-founder of Zerodha and Gruhas 
Host of 'WTF is' & 'People By WTF' Podcast 
Twitter: https://x.com/nikhilkamathcio/  
Instagram:  https://www.instagram.com/nikhilkamathcio/
LinkedIn: https://www.linkedin.com/in/nikhilkamathcio?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app
Facebook: https://www.facebook.com/nikhilkamathcio/

#WTFiswithnikhilkamath  #PeopleByWTF",2025-12-01T13:21:20Z,"nikhil kamath,nikhil kamath podcast,zerodha co founder,wtf is with nikhil kamath,startup podcasts,business podcasts in india,zerodha,peoplebywtf,entrepreneurship,indian entrepreneurship,startup ecosystem,Bengaluru,podcasts,indian podcasts,Mumbai",22,en,en-IN,https://i.ytimg.com/vi/wJ6yrhWX6fw/default.jpg,https://i.ytimg.com/vi/wJ6yrhWX6fw/hqdefault.jpg,PT36S,400553,11849,114,public,UCnC8SAZzQiBGYVSKZ_S3y4Q,Nikhil Kamath,"""WTF is"" is a podcast series where entrepreneur and Investor Nikhil Kamath hosts friends and industry experts and holds casual yet intellectually stimulating conversations. The podcast covers a broad range of topics of particular current relevance, including technology, social media, renewable energy, electric vehicles, philosophy, gaming, psychology and more.",IN,https://yt3.ggpht.com/XGYri31DcKi98pan5DYErwHPuPSQbUX97DpRzp-652rpXvrXuokR_YJrSdm6LJJORJkTvL7kBF0=s88-c-k-c0x00ffffff-no-rj,1950000,1121
i3YvAW3d-N0,Public Investor Hat | Elon Musk x Nikhil Kamath,"#NikhilKamath Co-founder of Zerodha and Gruhas 
Host of 'WTF is' & 'People By WTF' Podcast 
Twitter: https://x.com/nikhilkamathcio/  
Instagram:  https://www.instagram.com/nikhilkamathcio/
LinkedIn: https://www.linkedin.com/in/nikhilkamathcio?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app
Facebook: https://www.facebook.com/nikhilkamathcio/

#WTFiswithnikhilkamath  #PeopleByWTF",2025-12-01T04:42:53Z,,22,en,en-IN,https://i.ytimg.com/vi/i3YvAW3d-N0/default.jpg,https://i.ytimg.com/vi/i3YvAW3d-N0/hqdefault.jpg,PT33S,1279476,31289,114,public,UCnC8SAZzQiBGYVSKZ_S3y4Q,Nikhil Kamath,"""WTF is"" is a podcast series where entrepreneur and Investor Nikhil Kamath hosts friends and industry experts and holds casual yet intellectually stimulating conversations. The podcast covers a broad range of topics of particular current relevance, including technology, social media, renewable energy, electric vehicles, philosophy, gaming, psychology and more.",IN,https://yt3.ggpht.com/XGYri31DcKi98pan5DYErwHPuPSQbUX97DpRzp-652rpXvrXuokR_YJrSdm6LJJORJkTvL7kBF0=s88-c-k-c0x00ffffff-no-rj,1950000,1121
e1EFXHylwNQ,Message For Indian Entrepreneurs | Elon Musk,"#NikhilKamath Co-founder of Zerodha and Gruhas 
Host of 'WTF is' & 'People By WTF' Podcast 
Twitter: https://x.com/nikhilkamathcio/  
Instagram:  https://www.instagram.com/nikhilkamathcio/
LinkedIn: https://www.linkedin.com/in/nikhilkamathcio?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app
Facebook: https://www.facebook.com/nikhilkamathcio/

#WTFiswithnikhilkamath  #PeopleByWTF",2025-12-01T04:04:23Z,,22,en,en-IN,https://i.ytimg.com/vi/e1EFXHylwNQ/default.jpg,https://i.ytimg.com/vi/e1EFXHylwNQ/hqdefault.jpg,PT31S,580901,19461,113,public,UCnC8SAZzQiBGYVSKZ_S3y4Q,Nikhil Kamath,"""WTF is"" is a podcast series where entrepreneur and Investor Nikhil Kamath hosts friends and industry experts and holds casual yet intellectually stimulating conversations. The podcast covers a broad range of topics of particular current relevance, including technology, social media, renewable energy, electric vehicles, philosophy, gaming, psychology and more.",IN,https://yt3.ggpht.com/XGYri31DcKi98pan5DYErwHPuPSQbUX97DpRzp-652rpXvrXuokR_YJrSdm6LJJORJkTvL7kBF0=s88-c-k-c0x00ffffff-no-rj,1950000,1121
5TTUiuQXyPM,Delay Gratification | Elon Musk x Nikhil Kamath,"#NikhilKamath Co-founder of Zerodha and Gruhas 
Host of 'WTF is' & 'People By WTF' Podcast 
Twitter: https://x.com/nikhilkamathcio/  
Instagram:  https://www.instagram.com/nikhilkamathcio/
LinkedIn: https://www.linkedin.com/in/nikhilkamathcio?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app
Facebook: https://www.facebook.com/nikhilkamathcio/

#WTFiswithnikhilkamath  #PeopleByWTF",2025-12-01T03:52:08Z,,22,en,en-IN,https://i.ytimg.com/vi/5TTUiuQXyPM/default.jpg,https://i.ytimg.com/vi/5TTUiuQXyPM/hqdefault.jpg,PT34S,393962,9702,73,public,UCnC8SAZzQiBGYVSKZ_S3y4Q,Nikhil Kamath,"""WTF is"" is a podcast series where entrepreneur and Investor Nikhil Kamath hosts friends and industry experts and holds casual yet intellectually stimulating conversations. The podcast covers a broad range of topics of particular current relevance, including technology, social media, renewable energy, electric vehicles, philosophy, gaming, psychology and more.",IN,https://yt3.ggpht.com/XGYri31DcKi98pan5DYErwHPuPSQbUX97DpRzp-652rpXvrXuokR_YJrSdm6LJJORJkTvL7kBF0=s88-c-k-c0x00ffffff-no-rj,1950000,1121
y1sL97XHC_w,Milton Friedman | Elon Musk x Nikhil Kamath,"#NikhilKamath Co-founder of Zerodha and Gruhas 
Host of 'WTF is' & 'People By WTF' Podcast 
Twitter: https://x.com/nikhilkamathcio/  
Instagram:  https://www.instagram.com/nikhilkamathcio/
LinkedIn: https://www.linkedin.com/in/nikhilkamathcio?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app
Facebook: https://www.facebook.com/nikhilkamathcio/

#WTFiswithnikhilkamath  #PeopleByWTF",2025-12-01T03:42:09Z,,22,en,en-IN,https://i.ytimg.com/vi/y1sL97XHC_w/default.jpg,https://i.ytimg.com/vi/y1sL97XHC_w/hqdefault.jpg,PT39S,836190,23869,328,public,UCnC8SAZzQiBGYVSKZ_S3y4Q,Nikhil Kamath,"""WTF is"" is a podcast series where entrepreneur and Investor Nikhil Kamath hosts friends and industry experts and holds casual yet intellectually stimulating conversations. The podcast covers a broad range of topics of particular current relevance, including technology, social media, renewable energy, electric vehicles, philosophy, gaming, psychology and more.",IN,https://yt3.ggpht.com/XGYri31DcKi98pan5DYErwHPuPSQbUX97DpRzp-652rpXvrXuokR_YJrSdm6LJJORJkTvL7kBF0=s88-c-k-c0x00ffffff-no-rj,1950000,1121
OCbcyhNb6Do,Coffee | Elon Musk x Nikhil Kamath,"#NikhilKamath Co-founder of Zerodha and Gruhas 
Host of 'WTF is' & 'People By WTF' Podcast 
Twitter: https://x.com/nikhilkamathcio/  
Instagram:  https://www.instagram.com/nikhilkamathcio/
LinkedIn: https://www.linkedin.com/in/nikhilkamathcio?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app
Facebook: https://www.facebook.com/nikhilkamathcio/

#WTFiswithnikhilkamath  #PeopleByWTF",2025-12-01T03:10:43Z,"nikhil kamath,nikhil kamath podcast,zerodha co founder,wtf is with nikhil kamath,startup podcasts,business podcasts in india,zerodha,peoplebywtf,entrepreneurship,indian entrepreneurship,startup ecosystem,Bengaluru,podcasts,indian podcasts,Mumbai,raha kapoor birthday,november 6,raha kapoor,ranbir kapoor daughter,alia ranbir raha",22,en,en-IN,https://i.ytimg.com/vi/OCbcyhNb6Do/default.jpg,https://i.ytimg.com/vi/OCbcyhNb6Do/hqdefault.jpg,PT40S,1099126,34918,323,public,UCnC8SAZzQiBGYVSKZ_S3y4Q,Nikhil Kamath,"""WTF is"" is a podcast series where entrepreneur and Investor Nikhil Kamath hosts friends and industry experts and holds casual yet intellectually stimulating conversations. The podcast covers a broad range of topics of particular current relevance, including technology, social media, renewable energy, electric vehicles, philosophy, gaming, psychology and more.",IN,https://yt3.ggpht.com/XGYri31DcKi98pan5DYErwHPuPSQbUX97DpRzp-652rpXvrXuokR_YJrSdm6LJJORJkTvL7kBF0=s88-c-k-c0x00ffffff-no-rj,1950000,1121
i56Q4Zd6uxA,Podcasting | Elon Musk x Nikhil Kamath,"#NikhilKamath Co-founder of Zerodha and Gruhas 
Host of 'WTF is' & 'People By WTF' Podcast 
Twitter: https://x.com/nikhilkamathcio/  
Instagram:  https://www.instagram.com/nikhilkamathcio/
LinkedIn: https://www.linkedin.com/in/nikhilkamathcio?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app
Facebook: https://www.facebook.com/nikhilkamathcio/

#WTFiswithnikhilkamath  #PeopleByWTF",2025-12-01T03:06:53Z,"nikhil kamath,nikhil kamath podcast,zerodha co founder,wtf is with nikhil kamath,startup podcasts,business podcasts in india,zerodha,peoplebywtf,entrepreneurship,indian entrepreneurship,startup ecosystem,Bengaluru,podcasts,indian podcasts,Mumbai,raha kapoor birthday,november 6,raha kapoor,ranbir kapoor daughter,alia ranbir raha",22,en,en-IN,https://i.ytimg.com/vi/i56Q4Zd6uxA/default.jpg,https://i.ytimg.com/vi/i56Q4Zd6uxA/hqdefault.jpg,PT24S,569736,15193,65,public,UCnC8SAZzQiBGYVSKZ_S3y4Q,Nikhil Kamath,"""WTF is"" is a podcast series where entrepreneur and Investor Nikhil Kamath hosts friends and industry experts and holds casual yet intellectually stimulating conversations. The podcast covers a broad range of topics of particular current relevance, including technology, social media, renewable energy, electric vehicles, philosophy, gaming, psychology and more.",IN,https://yt3.ggpht.com/XGYri31DcKi98pan5DYErwHPuPSQbUX97DpRzp-652rpXvrXuokR_YJrSdm6LJJORJkTvL7kBF0=s88-c-k-c0x00ffffff-no-rj,1950000,1121
Rni7Fz7208c,Elon Musk: A Different Conversation w/ Nikhil Kamath | Full Episode | People by WTF Ep. 16,"A long conversation with #ElonMusk about work, consciousness, family, money, AI and how the future might unfold.

No script, no performance, just two people thinking out loud.

A big thank you to Manoj Ladwa - a close friend of many years and a remarkable connector of India to the world and the world to India. Through India Global Forum, he has built one of the most influential platforms showcasing India’s rise. As I’ve said before, this is India’s decade, and leaders like Manoj Ladwa and @IndiaGlobalForum  will be the flag bearers in making that a reality.

Timestamps :
00:00 – Settling in
02:08 – On X, text vs video, how people communicate
06:45 – Collective consciousness
09:54 – Meaning of life, Hitchhiker’s Guide to the Galaxy
14:16 – Individuals vs collectives
17:35 – What makes a company worth investing in
20:00 – Work Elon is most excited about across Tesla, SpaceX and xAI
23:35 – Starlink explained simply
29:45 – UHI, and “Working will be optional”: what that means
34:35 – Marshmallow test & delayed gratification
36:13 – The letter X
42:15 – Money, energy and the far future
46:13 – AI, US debt & what productivity unlocks
51:07 – Matrix, Simulation theory & probabilities
56:30 – Morality, religion & GTA
1:01:25 – Elon’s version of the simulation 
1:03:17 – Elon’s Kids, Family structure & Nature vs. Nurture
1:12:33 – Should kids still go to college?
1:14:52 – How to regulate AI
1:20:08 – Language, history, and what remains timeless
1:23:22 — Movies vs podcasts
1:24:33 — Can AI understand human nuance?
1:26:01 — Where would Elon invest?
1:27:52 —David vs Goliath
1:30:03 — Humour, Friendship & Politics
1:37:00 — Politics, influence, and business
1:38:53 — Global trade, tariffs, Free markets
1:41:11 — The relationship between business and government
1:43:21 — DOGE 
1:46:47 — Philanthropy
1:47:39 — H1B & Immigration Laws
1:51:17 — Advice for people building
1:52:00 — Value creation and hard work
1:53:26 — Closing thoughts & gratitude

#NikhilKamath Entrepreneur & Investor

Host of 'WTF is' & 'People By WTF' Podcast 
X: https://x.com/nikhilkamathcio/  
Instagram:  https://www.instagram.com/nikhilkamathcio/
LinkedIn: https://www.linkedin.com/in/nikhilkamathcio?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app
Facebook: https://www.facebook.com/nikhilkamathcio/

#elonmusk 
X - https://x.com/elonmusk

Watch 'WTF is' Podcast on Spotify 
https://tinyurl.com/4nsm4ezn

Watch 'People by WTF' Podcast on Spotify 
https://tinyurl.com/yme92c59

Watch 'WTF Online' on Spotify 
https://tinyurl.com/4tjua4th

#WTFiswithnikhilkamath  #PeopleByWTF #WTFOnline",2025-11-30T13:25:06Z,"nikhil kamath,nikhil kamath podcast,zerodha co founder,wtf is with nikhil kamath,startup podcasts,business podcasts in india,zerodha,peoplebywtf,entrepreneurship,indian entrepreneurship,startup ecosystem,Bengaluru,podcasts,indian podcasts,Mumbai",22,en,en-IN,https://i.ytimg.com/vi/Rni7Fz7208c/default.jpg,https://i.ytimg.com/vi/Rni7Fz7208c/hqdefault.jpg,PT1H54M14S,5077987,187429,15063,public,UCnC8SAZzQiBGYVSKZ_S3y4Q,Nikhil Kamath,"""WTF is"" is a podcast series where entrepreneur and Investor Nikhil Kamath hosts friends and industry experts and holds casual yet intellectually stimulating conversations. The podcast covers a broad range of topics of particular current relevance, including technology, social media, renewable energy, electric vehicles, philosophy, gaming, psychology and more.",IN,https://yt3.ggpht.com/XGYri31DcKi98pan5DYErwHPuPSQbUX97DpRzp-652rpXvrXuokR_YJrSdm6LJJORJkTvL7kBF0=s88-c-k-c0x00ffffff-no-rj,1950000,1121
XgHveu3PGuI,Elon Musk x Nikhil Kamath | Ep. 16 Trailer | People by WTF,"Here’s to delaying gratification. The future belongs to the patient.

#NikhilKamath Entrepreneur & Investor

Host of 'WTF is' & 'People By WTF' Podcast 
X: https://x.com/nikhilkamathcio/  
Instagram:  https://www.instagram.com/nikhilkamathcio/
LinkedIn: https://www.linkedin.com/in/nikhilkamathcio?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app
Facebook: https://www.facebook.com/nikhilkamathcio/

#elonmusk 
X - https://x.com/elonmusk

Watch 'WTF is' Podcast on Spotify 
https://tinyurl.com/4nsm4ezn

Watch 'People by WTF' Podcast on Spotify 
https://tinyurl.com/yme92c59

Watch 'WTF Online' on Spotify 
https://tinyurl.com/4tjua4th

#WTFiswithnikhilkamath  #PeopleByWTF #WTFOnline",2025-11-30T02:48:00Z,"nikhil kamath,nikhil kamath podcast,zerodha co founder,wtf is with nikhil kamath,startup podcasts,business podcasts in india,zerodha,peoplebywtf,entrepreneurship,indian entrepreneurship,startup ecosystem,Bengaluru,podcasts,indian podcasts,Mumbai",22,en,en-IN,https://i.ytimg.com/vi/XgHveu3PGuI/default.jpg,https://i.ytimg.com/vi/XgHveu3PGuI/hqdefault.jpg,PT1M37S,892661,34000,2459,public,UCnC8SAZzQiBGYVSKZ_S3y4Q,Nikhil Kamath,"""WTF is"" is a podcast series where entrepreneur and Investor Nikhil Kamath hosts friends and industry experts and holds casual yet intellectually stimulating conversations. The podcast covers a broad range of topics of particular current relevance, including technology, social media, renewable energy, electric vehicles, philosophy, gaming, psychology and more.",IN,https://yt3.ggpht.com/XGYri31DcKi98pan5DYErwHPuPSQbUX97DpRzp-652rpXvrXuokR_YJrSdm6LJJORJkTvL7kBF0=s88-c-k-c0x00ffffff-no-rj,1950000,1121
OrFqfAnv-IA,Magic Of South Indian Architecture,"#NikhilKamath Co-founder of Zerodha and Gruhas 
Host of 'WTF is' & 'People By WTF' Podcast 
Twitter: https://x.com/nikhilkamathcio/  
Instagram:  https://www.instagram.com/nikhilkamathcio/
LinkedIn: https://www.linkedin.com/in/nikhilkamathcio?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app
Facebook: https://www.facebook.com/nikhilkamathcio/

#WTFiswithnikhilkamath  #PeopleByWTF",2025-11-29T10:45:03Z,"nikhil kamath,nikhil kamath podcast,zerodha co founder,wtf is with nikhil kamath,startup podcasts,business podcasts in india,zerodha,peoplebywtf,entrepreneurship,indian entrepreneurship,startup ecosystem,Bengaluru,podcasts,indian podcasts,Mumbai,raha kapoor birthday,november 6,raha kapoor,ranbir kapoor daughter,alia ranbir raha",22,en,en-IN,https://i.ytimg.com/vi/OrFqfAnv-IA/default.jpg,https://i.ytimg.com/vi/OrFqfAnv-IA/hqdefault.jpg,PT35S,239767,6623,66,public,UCnC8SAZzQiBGYVSKZ_S3y4Q,Nikhil Kamath,"""WTF is"" is a podcast series where entrepreneur and Investor Nikhil Kamath hosts friends and industry experts and holds casual yet intellectually stimulating conversations. The podcast covers a broad range of topics of particular current relevance, including technology, social media, renewable energy, electric vehicles, philosophy, gaming, psychology and more.",IN,https://yt3.ggpht.com/XGYri31DcKi98pan5DYErwHPuPSQbUX97DpRzp-652rpXvrXuokR_YJrSdm6LJJORJkTvL7kBF0=s88-c-k-c0x00ffffff-no-rj,1950000,1121
D14iCkdoWtY,Ep. 16 | Elon Musk x Nikhil Kamath,"#NikhilKamath Co-founder of Zerodha and Gruhas 
Host of 'WTF is' & 'People By WTF' Podcast 
Twitter: https://x.com/nikhilkamathcio/  
Instagram:  https://www.instagram.com/nikhilkamathcio/
LinkedIn: https://www.linkedin.com/in/nikhilkamathcio?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app
Facebook: https://www.facebook.com/nikhilkamathcio/

#WTFiswithnikhilkamath  #PeopleByWTF",2025-11-28T15:26:51Z,"nikhil kamath,nikhil kamath podcast,zerodha co founder,wtf is with nikhil kamath,startup podcasts,business podcasts in india,zerodha,peoplebywtf,entrepreneurship,indian entrepreneurship,startup ecosystem,Bengaluru,podcasts,indian podcasts,Mumbai,raha kapoor birthday,november 6,raha kapoor,ranbir kapoor daughter,alia ranbir raha",22,en,en-IN,https://i.ytimg.com/vi/D14iCkdoWtY/default.jpg,https://i.ytimg.com/vi/D14iCkdoWtY/hqdefault.jpg,PT39S,797387,30677,1768,public,UCnC8SAZzQiBGYVSKZ_S3y4Q,Nikhil Kamath,"""WTF is"" is a podcast series where entrepreneur and Investor Nikhil Kamath hosts friends and industry experts and holds casual yet intellectually stimulating conversations. The podcast covers a broad range of topics of particular current relevance, including technology, social media, renewable energy, electric vehicles, philosophy, gaming, psychology and more.",IN,https://yt3.ggpht.com/XGYri31DcKi98pan5DYErwHPuPSQbUX97DpRzp-652rpXvrXuokR_YJrSdm6LJJORJkTvL7kBF0=s88-c-k-c0x00ffffff-no-rj,1950000,1121
WFcNNVqoynk,WTF?,"a serious conversation with elon 😑


#NikhilKamath Entrepreneur & Investor

Host of 'WTF is' & 'People By WTF' Podcast 
X: https://x.com/nikhilkamathcio/  
Instagram:  https://www.instagram.com/nikhilkamathcio/
LinkedIn: https://www.linkedin.com/in/nikhilkamathcio?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app
Facebook: https://www.facebook.com/nikhilkamathcio/

#elonmusk 
X - https://x.com/elonmusk

Watch 'WTF is' Podcast on Spotify 
https://tinyurl.com/4nsm4ezn

Watch 'People by WTF' Podcast on Spotify 
https://tinyurl.com/yme92c59

Watch 'WTF Online' on Spotify 
https://tinyurl.com/4tjua4th

#WTFiswithnikhilkamath  #PeopleByWTF #WTFOnline",2025-11-28T14:05:22Z,"nikhil kamath,nikhil kamath podcast,zerodha co founder,wtf is with nikhil kamath,startup podcasts,business podcasts in india,zerodha,peoplebywtf,entrepreneurship,indian entrepreneurship,startup ecosystem,Bengaluru,podcasts,indian podcasts,Mumbai",22,en,en-IN,https://i.ytimg.com/vi/WFcNNVqoynk/default.jpg,https://i.ytimg.com/vi/WFcNNVqoynk/hqdefault.jpg,PT39S,734331,44643,3885,public,UCnC8SAZzQiBGYVSKZ_S3y4Q,Nikhil Kamath,"""WTF is"" is a podcast series where entrepreneur and Investor Nikhil Kamath hosts friends and industry experts and holds casual yet intellectually stimulating conversations. The podcast covers a broad range of topics of particular current relevance, including technology, social media, renewable energy, electric vehicles, philosophy, gaming, psychology and more.",IN,https://yt3.ggpht.com/XGYri31DcKi98pan5DYErwHPuPSQbUX97DpRzp-652rpXvrXuokR_YJrSdm6LJJORJkTvL7kBF0=s88-c-k-c0x00ffffff-no-rj,1950000,1121
DRXsxKLkRB4,Why Cutting Taxes Might Actually Help India,"#NikhilKamath Co-founder of Zerodha and Gruhas 
Host of 'WTF is' & 'People By WTF' Podcast 
Twitter: https://x.com/nikhilkamathcio/  
Instagram:  https://www.instagram.com/nikhilkamathcio/
LinkedIn: https://www.linkedin.com/in/nikhilkamathcio?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app
Facebook: https://www.facebook.com/nikhilkamathcio/

#WTFiswithnikhilkamath  #PeopleByWTF",2025-11-27T15:31:40Z,"nikhil kamath,nikhil kamath podcast,zerodha co founder,wtf is with nikhil kamath,startup podcasts,business podcasts in india,zerodha,peoplebywtf,entrepreneurship,indian entrepreneurship,startup ecosystem,Bengaluru,podcasts,indian podcasts,Mumbai,raha kapoor birthday,november 6,raha kapoor,ranbir kapoor daughter,alia ranbir raha",22,en,en-IN,https://i.ytimg.com/vi/DRXsxKLkRB4/default.jpg,https://i.ytimg.com/vi/DRXsxKLkRB4/hqdefault.jpg,PT32S,219371,4159,51,public,UCnC8SAZzQiBGYVSKZ_S3y4Q,Nikhil Kamath,"""WTF is"" is a podcast series where entrepreneur and Investor Nikhil Kamath hosts friends and industry experts and holds casual yet intellectually stimulating conversations. The podcast covers a broad range of topics of particular current relevance, including technology, social media, renewable energy, electric vehicles, philosophy, gaming, psychology and more.",IN,https://yt3.ggpht.com/XGYri31DcKi98pan5DYErwHPuPSQbUX97DpRzp-652rpXvrXuokR_YJrSdm6LJJORJkTvL7kBF0=s88-c-k-c0x00ffffff-no-rj,1950000,1121
brjMQgKMJr0,Google’s Way Of Working,"#NikhilKamath Co-founder of Zerodha and Gruhas 
Host of 'WTF is' & 'People By WTF' Podcast 
Twitter: https://x.com/nikhilkamathcio/  
Instagram:  https://www.instagram.com/nikhilkamathcio/
LinkedIn: https://www.linkedin.com/in/nikhilkamathcio?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app
Facebook: https://www.facebook.com/nikhilkamathcio/

#WTFiswithnikhilkamath  #PeopleByWTF",2025-11-27T15:04:30Z,"nikhil kamath,nikhil kamath podcast,zerodha co founder,wtf is with nikhil kamath,startup podcasts,business podcasts in india,zerodha,peoplebywtf,entrepreneurship,indian entrepreneurship,startup ecosystem,Bengaluru,podcasts,indian podcasts,Mumbai,wtf podcast",22,en,en-IN,https://i.ytimg.com/vi/brjMQgKMJr0/default.jpg,https://i.ytimg.com/vi/brjMQgKMJr0/hqdefault.jpg,PT29S,127819,2254,14,public,UCnC8SAZzQiBGYVSKZ_S3y4Q,Nikhil Kamath,"""WTF is"" is a podcast series where entrepreneur and Investor Nikhil Kamath hosts friends and industry experts and holds casual yet intellectually stimulating conversations. The podcast covers a broad range of topics of particular current relevance, including technology, social media, renewable energy, electric vehicles, philosophy, gaming, psychology and more.",IN,https://yt3.ggpht.com/XGYri31DcKi98pan5DYErwHPuPSQbUX97DpRzp-652rpXvrXuokR_YJrSdm6LJJORJkTvL7kBF0=s88-c-k-c0x00ffffff-no-rj,1950000,1121
C4wJAAqb8F4,A. R. Rahman's Favourite Car,"#NikhilKamath Co-founder of Zerodha and Gruhas 
Host of 'WTF is' & 'People By WTF' Podcast 
Twitter: https://x.com/nikhilkamathcio/  
Instagram:  https://www.instagram.com/nikhilkamathcio/
LinkedIn: https://www.linkedin.com/in/nikhilkamathcio?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app
Facebook: https://www.facebook.com/nikhilkamathcio/

#WTFiswithnikhilkamath  #PeopleByWTF",2025-11-27T15:00:04Z,"nikhil kamath,nikhil kamath podcast,zerodha co founder,wtf is with nikhil kamath,startup podcasts,business podcasts in india,zerodha,peoplebywtf,entrepreneurship,indian entrepreneurship,startup ecosystem,Bengaluru,podcasts,indian podcasts,Mumbai,raha kapoor birthday,november 6,raha kapoor,ranbir kapoor daughter,alia ranbir raha",22,en,en-IN,https://i.ytimg.com/vi/C4wJAAqb8F4/default.jpg,https://i.ytimg.com/vi/C4wJAAqb8F4/hqdefault.jpg,PT31S,875696,20392,88,public,UCnC8SAZzQiBGYVSKZ_S3y4Q,Nikhil Kamath,"""WTF is"" is a podcast series where entrepreneur and Investor Nikhil Kamath hosts friends and industry experts and holds casual yet intellectually stimulating conversations. The podcast covers a broad range of topics of particular current relevance, including technology, social media, renewable energy, electric vehicles, philosophy, gaming, psychology and more.",IN,https://yt3.ggpht.com/XGYri31DcKi98pan5DYErwHPuPSQbUX97DpRzp-652rpXvrXuokR_YJrSdm6LJJORJkTvL7kBF0=s88-c-k-c0x00ffffff-no-rj,1950000,1121
